epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.6749841570854187,0.9909021258354187,0.6320191025733948,1.536059021949768
1,0.8349588513374329,0.502106249332428,0.6475507616996765,1.539642572402954
2,0.8847371935844421,0.333658903837204,0.6272401213645935,1.4405535459518433
3,0.9214692711830139,0.23955292999744415,0.664277195930481,1.4765044450759888
4,0.9318556189537048,0.19469760358333588,0.6260454058647156,1.9105875492095947
5,0.9390753507614136,0.18191687762737274,0.7180406451225281,1.3743191957473755
6,0.9579480886459351,0.12295577675104141,0.561529278755188,2.2665512561798096
7,0.9604813456535339,0.11967644095420837,0.7060931921005249,1.255553960800171
8,0.960861325263977,0.11183156073093414,0.6821983456611633,1.5310319662094116
9,0.9689676761627197,0.08409596234560013,0.6391875743865967,1.6534199714660645
10,0.9778340458869934,0.0647335797548294,0.6821983456611633,1.7302286624908447
11,0.9730209112167358,0.08220364153385162,0.7144563794136047,1.4888519048690796
12,0.9758074879646301,0.07016599178314209,0.67861407995224,1.9931403398513794
13,0.9845471978187561,0.04469684511423111,0.622461199760437,1.8338223695755005
14,0.9937935471534729,0.017635464668273926,0.6869773268699646,1.6669615507125854
15,0.9969601035118103,0.0094107361510396,0.6774193644523621,1.627898931503296
16,0.9981000423431396,0.006418462842702866,0.6821983456611633,1.626848816871643
17,0.9977200627326965,0.006625674199312925,0.6905615329742432,1.6286122798919678
18,0.9981000423431396,0.005546425469219685,0.684587836265564,1.6434993743896484
19,0.9982267022132874,0.0059349718503654,0.6941457390785217,1.6251128911972046
20,0.9978467226028442,0.005827932618558407,0.6857825517654419,1.6589715480804443
